epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1526.04,1.53944,1.19141,1.57844,0.82218,0.73298,0.83022,0.44402,1.5645,1.06539,1.70949,0.00165689,0.00165689,0.00165689
43,1561,1.53666,1.21441,1.5715,0.79848,0.74277,0.81753,0.43601,1.55241,1.06286,1.67121,0.00164105,0.00164105,0.00164105
44,1596.5,1.5456,1.17304,1.57868,0.80964,0.76754,0.84292,0.45945,1.5232,1.03331,1.67783,0.00162494,0.00162494,0.00162494
45,1631.52,1.53499,1.15685,1.56984,0.83809,0.75972,0.85304,0.45659,1.56026,1.01322,1.68146,0.00160855,0.00160855,0.00160855
46,1666.57,1.53985,1.16464,1.57179,0.82481,0.77451,0.85821,0.46155,1.53512,0.99888,1.68516,0.00159191,0.00159191,0.00159191
47,1701.6,1.52248,1.16907,1.56242,0.84543,0.73779,0.84859,0.44898,1.57855,1.0024,1.69195,0.00157501,0.00157501,0.00157501
48,1736.82,1.51524,1.14753,1.55352,0.85037,0.76471,0.8693,0.47567,1.51535,0.96434,1.65421,0.00155786,0.00155786,0.00155786
49,1771.88,1.51308,1.12062,1.55375,0.81706,0.79263,0.84548,0.46045,1.53655,0.98997,1.66888,0.00154047,0.00154047,0.00154047
50,1806.64,1.51775,1.13952,1.54325,0.8633,0.77866,0.86668,0.47462,1.52,0.94916,1.65635,0.00152285,0.00152285,0.00152285
51,1842.02,1.50797,1.11819,1.53727,0.85918,0.7604,0.84857,0.4723,1.50083,0.99696,1.62661,0.001505,0.001505,0.001505
52,1877.05,1.50564,1.09987,1.55547,0.84153,0.75075,0.84506,0.46231,1.50294,1.03223,1.63818,0.00148694,0.00148694,0.00148694
53,1912.3,1.4759,1.08681,1.52082,0.83899,0.75972,0.8536,0.47138,1.51809,1.0165,1.64314,0.00146866,0.00146866,0.00146866
54,1947.26,1.49006,1.1105,1.5417,0.85028,0.75374,0.85152,0.47429,1.50171,0.96405,1.6259,0.00145019,0.00145019,0.00145019
55,1981.93,1.49058,1.07597,1.53786,0.84632,0.76371,0.85937,0.48036,1.49276,0.96037,1.60859,0.00143152,0.00143152,0.00143152
56,2017.14,1.47772,1.08007,1.54054,0.86627,0.78365,0.87289,0.47283,1.54565,0.92616,1.66931,0.00141267,0.00141267,0.00141267
57,2052.24,1.47622,1.0731,1.52131,0.842,0.74384,0.84936,0.4647,1.53744,0.964,1.63522,0.00139364,0.00139364,0.00139364
58,2087.31,1.47759,1.06975,1.51851,0.82603,0.80952,0.87023,0.48133,1.52921,0.93342,1.64626,0.00137444,0.00137444,0.00137444
59,2122.55,1.49026,1.07584,1.53764,0.83225,0.79262,0.85617,0.47601,1.51216,0.95877,1.64106,0.00135509,0.00135509,0.00135509
60,2158.17,1.46052,1.04361,1.51803,0.87098,0.72981,0.85672,0.47529,1.5302,0.9971,1.67064,0.00133558,0.00133558,0.00133558
61,2204.18,1.45805,1.03374,1.5182,0.86536,0.79661,0.87708,0.48716,1.52076,0.9227,1.64869,0.00131593,0.00131593,0.00131593
62,2243.81,1.45571,1.03439,1.5009,0.83066,0.7986,0.86616,0.47717,1.51565,0.92727,1.64636,0.00129614,0.00129614,0.00129614
63,2278.76,1.4299,1.01014,1.49275,0.87947,0.75872,0.8549,0.47047,1.54777,0.99609,1.64931,0.00127623,0.00127623,0.00127623
64,2314.2,1.4471,1.02765,1.50074,0.83492,0.81185,0.87854,0.47497,1.54927,0.8932,1.66024,0.0012562,0.0012562,0.0012562
65,2352.8,1.43437,1.02363,1.49757,0.84719,0.81255,0.87635,0.48072,1.51529,0.89016,1.65959,0.00123607,0.00123607,0.00123607
66,2387.83,1.42563,1.03209,1.48631,0.85105,0.77567,0.85366,0.4699,1.54676,0.93998,1.64659,0.00121583,0.00121583,0.00121583
67,2423.03,1.41982,0.99666,1.4791,0.82819,0.82652,0.88314,0.49527,1.5164,0.88038,1.61023,0.00119551,0.00119551,0.00119551
68,2458.03,1.4276,0.99945,1.4765,0.86129,0.77667,0.87396,0.48776,1.5169,0.91084,1.64033,0.0011751,0.0011751,0.0011751
69,2512.9,1.40282,0.9918,1.48107,0.85106,0.81157,0.88103,0.49849,1.4919,0.86587,1.61613,0.00115462,0.00115462,0.00115462
70,2547.94,1.39487,0.97303,1.46005,0.84431,0.80019,0.87666,0.49606,1.49661,0.91341,1.61746,0.00113408,0.00113408,0.00113408
71,2582.93,1.3961,0.96327,1.45658,0.85817,0.79262,0.87682,0.48721,1.51658,0.9005,1.61574,0.00111348,0.00111348,0.00111348
72,2618.04,1.4009,0.98104,1.45927,0.87355,0.7852,0.87717,0.49308,1.51556,0.88798,1.63916,0.00109284,0.00109284,0.00109284
73,2653.96,1.40002,0.98833,1.47805,0.84669,0.78963,0.86864,0.49648,1.49155,0.87489,1.63526,0.00107216,0.00107216,0.00107216
74,2689.34,1.38642,0.95216,1.45718,0.84845,0.79761,0.87209,0.48538,1.52093,0.88458,1.64394,0.00105146,0.00105146,0.00105146
75,2724.44,1.40026,0.96781,1.46707,0.84374,0.79462,0.87296,0.48058,1.51978,0.90009,1.65716,0.00103073,0.00103073,0.00103073
76,2759.86,1.40456,0.9698,1.4694,0.85566,0.81561,0.87872,0.49324,1.51295,0.8728,1.66147,0.00101,0.00101,0.00101
77,2795.24,1.38003,0.94841,1.45952,0.88185,0.79625,0.88627,0.50106,1.50236,0.87122,1.61585,0.000989267,0.000989267,0.000989267
78,2830.07,1.39047,0.94401,1.44799,0.8685,0.79163,0.87871,0.49875,1.49858,0.85927,1.62349,0.000968543,0.000968543,0.000968543
79,2865.67,1.35462,0.93021,1.4415,0.87601,0.79595,0.89071,0.49828,1.498,0.84528,1.61923,0.000947837,0.000947837,0.000947837
80,2901.09,1.35547,0.92391,1.43446,0.865,0.80658,0.88487,0.48927,1.5121,0.85645,1.64979,0.000927159,0.000927159,0.000927159
81,2936.54,1.36694,0.92063,1.44806,0.88352,0.77138,0.86519,0.48303,1.53171,0.93732,1.65672,0.000906517,0.000906517,0.000906517
82,2991.81,1.35464,0.91511,1.43991,0.84276,0.82453,0.88639,0.49505,1.50145,0.86056,1.63599,0.00088592,0.00088592,0.00088592
83,3026.97,1.355,0.90834,1.43808,0.86805,0.79462,0.88757,0.4999,1.5063,0.84241,1.62733,0.000865378,0.000865378,0.000865378
84,3062.54,1.36803,0.91734,1.44456,0.89414,0.78317,0.88841,0.49822,1.50014,0.85794,1.62663,0.000844899,0.000844899,0.000844899
85,3098.25,1.33523,0.8939,1.41067,0.86655,0.81954,0.89591,0.50472,1.51331,0.8291,1.63616,0.000824492,0.000824492,0.000824492
86,3133.29,1.3273,0.86715,1.40911,0.89177,0.80507,0.89568,0.51132,1.48937,0.81999,1.64642,0.000804167,0.000804167,0.000804167
87,3168.21,1.32712,0.89264,1.41565,0.89732,0.79289,0.88457,0.49045,1.50756,0.87119,1.63713,0.000783933,0.000783933,0.000783933
88,3203.2,1.32484,0.86794,1.39919,0.87023,0.79761,0.88264,0.50672,1.49655,0.87336,1.61875,0.000763797,0.000763797,0.000763797
89,3238.46,1.33963,0.88591,1.41878,0.86599,0.80532,0.88466,0.49555,1.51243,0.85497,1.63698,0.000743769,0.000743769,0.000743769
90,3274.07,1.31674,0.87251,1.40444,0.87358,0.79163,0.87809,0.49448,1.50152,0.85743,1.65584,0.000723859,0.000723859,0.000723859
91,3309.05,1.33034,0.87427,1.40945,0.86213,0.81356,0.88955,0.50572,1.51367,0.85241,1.66023,0.000704073,0.000704073,0.000704073
92,3344.7,1.31701,0.86809,1.40568,0.86824,0.82054,0.89089,0.49365,1.53584,0.84262,1.66308,0.000684422,0.000684422,0.000684422
93,3379.92,1.31739,0.86704,1.40436,0.89252,0.80307,0.89212,0.49442,1.50239,0.81962,1.63741,0.000664914,0.000664914,0.000664914
94,3418.9,1.3065,0.87301,1.39691,0.8821,0.79661,0.88555,0.49827,1.49951,0.82584,1.62469,0.000645557,0.000645557,0.000645557
95,3453.72,1.30064,0.85592,1.38224,0.87722,0.81207,0.8879,0.5023,1.49427,0.81794,1.62412,0.00062636,0.00062636,0.00062636
96,3489.23,1.29589,0.83829,1.38405,0.87969,0.8006,0.88192,0.49039,1.52633,0.84629,1.65308,0.000607331,0.000607331,0.000607331
97,3524.12,1.29001,0.82662,1.38803,0.88491,0.78564,0.88364,0.49054,1.51921,0.84413,1.66829,0.000588479,0.000588479,0.000588479
98,3559.15,1.28506,0.83394,1.3746,0.88354,0.78664,0.88467,0.49893,1.50309,0.8623,1.62286,0.000569811,0.000569811,0.000569811
99,3594.27,1.27796,0.82677,1.37779,0.89874,0.77468,0.88728,0.5022,1.50569,0.87138,1.65394,0.000551337,0.000551337,0.000551337
100,3629.53,1.27771,0.83479,1.3665,0.86451,0.80558,0.88473,0.50435,1.50707,0.87121,1.63411,0.000533064,0.000533064,0.000533064
101,3664.45,1.26407,0.82296,1.37813,0.87708,0.82054,0.89707,0.50696,1.51431,0.81706,1.65238,0.000515,0.000515,0.000515
102,3704,1.27225,0.81729,1.37088,0.90423,0.7986,0.90039,0.50769,1.51375,0.81554,1.63632,0.000497153,0.000497153,0.000497153
103,3739.19,1.28099,0.82348,1.38146,0.87775,0.80459,0.89056,0.50618,1.51865,0.84767,1.64146,0.000479531,0.000479531,0.000479531
104,3774.42,1.26827,0.81652,1.36919,0.87726,0.80524,0.88759,0.50329,1.51906,0.84697,1.66088,0.000462142,0.000462142,0.000462142
105,3809.3,1.26483,0.80231,1.36216,0.88062,0.80168,0.89016,0.50593,1.51548,0.86148,1.64692,0.000444994,0.000444994,0.000444994
106,3844.56,1.24521,0.79092,1.35397,0.83924,0.83801,0.88198,0.50095,1.52407,0.8159,1.66623,0.000428093,0.000428093,0.000428093
107,3879.86,1.24914,0.78657,1.35552,0.88723,0.78442,0.8907,0.50795,1.50916,0.85025,1.64825,0.000411447,0.000411447,0.000411447
108,3914.89,1.25464,0.77167,1.35451,0.86364,0.8146,0.88901,0.50785,1.52366,0.85067,1.64711,0.000395064,0.000395064,0.000395064
109,3949.93,1.23433,0.78669,1.34198,0.90607,0.79761,0.89857,0.50433,1.5217,0.83751,1.64281,0.00037895,0.00037895,0.00037895
110,3984.89,1.22763,0.77666,1.33361,0.88661,0.80558,0.89565,0.5106,1.52356,0.83341,1.64446,0.000363114,0.000363114,0.000363114
111,4019.96,1.23458,0.79029,1.34897,0.89297,0.78166,0.88973,0.50027,1.52708,0.84137,1.65693,0.000347561,0.000347561,0.000347561
112,4055.31,1.22937,0.78057,1.34374,0.87296,0.81524,0.89653,0.51002,1.51956,0.83422,1.64553,0.000332298,0.000332298,0.000332298
113,4090.2,1.23473,0.77544,1.34114,0.8651,0.81755,0.9008,0.50893,1.52203,0.81712,1.64461,0.000317333,0.000317333,0.000317333
114,4125.54,1.21566,0.76818,1.32462,0.90579,0.78265,0.89075,0.51072,1.51699,0.84179,1.65172,0.000302672,0.000302672,0.000302672
115,4160.56,1.22407,0.78465,1.32281,0.87224,0.82361,0.89224,0.51141,1.51238,0.81529,1.65188,0.000288321,0.000288321,0.000288321
116,4195.8,1.2241,0.77704,1.33033,0.86686,0.82439,0.89606,0.51173,1.50579,0.82059,1.64642,0.000274287,0.000274287,0.000274287
117,4231.23,1.22094,0.7686,1.33111,0.8722,0.81256,0.88867,0.50317,1.52401,0.81831,1.65111,0.000260575,0.000260575,0.000260575
118,4266.94,1.20857,0.76354,1.32195,0.87924,0.80577,0.90036,0.51605,1.50569,0.84653,1.6471,0.000247192,0.000247192,0.000247192
119,4302.01,1.21274,0.77224,1.32376,0.88354,0.81157,0.90084,0.51675,1.50771,0.83088,1.6449,0.000234143,0.000234143,0.000234143
120,4337.56,1.21762,0.76527,1.32023,0.88091,0.80758,0.89106,0.51135,1.50801,0.81648,1.64179,0.000221435,0.000221435,0.000221435
121,4372.93,1.20237,0.75107,1.31796,0.90096,0.8072,0.90109,0.51124,1.51376,0.83788,1.64767,0.000209073,0.000209073,0.000209073
122,4410.93,1.21401,0.76308,1.32485,0.87618,0.82752,0.8979,0.51344,1.51341,0.83692,1.65393,0.000197062,0.000197062,0.000197062
123,4446.1,1.20228,0.7498,1.32189,0.89739,0.79661,0.9013,0.51016,1.52292,0.82422,1.67083,0.000185408,0.000185408,0.000185408
124,4481.56,1.19773,0.75523,1.31598,0.89829,0.80259,0.90242,0.51678,1.51068,0.82231,1.65941,0.000174115,0.000174115,0.000174115
125,4517.33,1.19702,0.7549,1.31193,0.89561,0.79262,0.89544,0.50929,1.51817,0.84085,1.6573,0.000163189,0.000163189,0.000163189
126,4552.59,1.19346,0.76597,1.31404,0.88165,0.81702,0.89991,0.51346,1.51298,0.82665,1.65011,0.000152635,0.000152635,0.000152635
127,4587.75,1.18578,0.74781,1.30481,0.86817,0.81854,0.90246,0.51589,1.51094,0.83245,1.65239,0.000142456,0.000142456,0.000142456
128,4622.89,1.19664,0.7323,1.31115,0.88653,0.80236,0.8925,0.51432,1.50974,0.87093,1.64767,0.000132658,0.000132658,0.000132658
129,4658.37,1.16552,0.72574,1.29237,0.91073,0.79341,0.89697,0.51165,1.51231,0.83696,1.65941,0.000123245,0.000123245,0.000123245
130,4693.6,1.17595,0.73644,1.29925,0.89969,0.79761,0.89893,0.51361,1.50822,0.83152,1.64483,0.000114221,0.000114221,0.000114221
131,4728.73,1.17166,0.73454,1.29607,0.88078,0.8102,0.89869,0.50922,1.51593,0.83834,1.64983,0.00010559,0.00010559,0.00010559
132,4767.32,1.17837,0.74319,1.29486,0.87728,0.81456,0.89919,0.51813,1.51268,0.82863,1.6469,9.73555e-05,9.73555e-05,9.73555e-05
133,4802.57,1.17698,0.75769,1.29452,0.88507,0.80957,0.89654,0.51535,1.51386,0.83211,1.64988,8.95213e-05,8.95213e-05,8.95213e-05
134,4837.83,1.1565,0.70628,1.27965,0.86894,0.81555,0.89764,0.51655,1.51168,0.83221,1.65611,8.20908e-05,8.20908e-05,8.20908e-05
135,4880.22,1.17408,0.7383,1.2965,0.86527,0.81954,0.89645,0.51848,1.5174,0.84175,1.66206,7.50674e-05,7.50674e-05,7.50674e-05
136,4915.46,1.16215,0.7345,1.28832,0.85062,0.82951,0.89565,0.51598,1.51659,0.83565,1.65602,6.8454e-05,6.8454e-05,6.8454e-05
137,4971.56,1.1782,0.74176,1.29095,0.85905,0.83051,0.90067,0.51726,1.51445,0.82704,1.65837,6.22537e-05,6.22537e-05,6.22537e-05
138,5006.23,1.18362,0.73425,1.29832,0.89111,0.81256,0.9013,0.52201,1.50552,0.82989,1.64611,5.64691e-05,5.64691e-05,5.64691e-05
139,5040.91,1.17327,0.7501,1.29346,0.87463,0.82772,0.90268,0.52051,1.50627,0.82207,1.64978,5.11027e-05,5.11027e-05,5.11027e-05
140,5076.05,1.16065,0.72347,1.28205,0.87031,0.82552,0.90045,0.52025,1.51083,0.83924,1.65525,4.61569e-05,4.61569e-05,4.61569e-05
141,5132.53,0.96449,0.50391,1.18197,0.8886,0.7873,0.87946,0.49271,1.53571,0.85888,1.67783,4.16339e-05,4.16339e-05,4.16339e-05
142,5167.13,0.96901,0.4947,1.19018,0.87949,0.79661,0.87984,0.49562,1.53669,0.87648,1.68327,3.75356e-05,3.75356e-05,3.75356e-05
143,5201.63,0.95841,0.4825,1.17515,0.9047,0.78066,0.88122,0.49759,1.53559,0.85933,1.68307,3.38639e-05,3.38639e-05,3.38639e-05
144,5236.4,0.94565,0.47641,1.17297,0.90334,0.78664,0.8854,0.5011,1.53182,0.86757,1.67974,3.06204e-05,3.06204e-05,3.06204e-05
145,5270.85,0.94588,0.47452,1.17207,0.90454,0.79353,0.88822,0.5008,1.53429,0.86391,1.68203,2.78064e-05,2.78064e-05,2.78064e-05
146,5305.12,0.94138,0.47158,1.17013,0.90075,0.7996,0.89061,0.50551,1.5331,0.84988,1.68086,2.54233e-05,2.54233e-05,2.54233e-05
147,5339.91,0.93759,0.47139,1.16095,0.90462,0.8016,0.89164,0.50443,1.53187,0.85274,1.68254,2.34721e-05,2.34721e-05,2.34721e-05
148,5374.7,0.93735,0.46807,1.16072,0.89981,0.79695,0.88943,0.5061,1.53067,0.86317,1.6817,2.19535e-05,2.19535e-05,2.19535e-05
149,5409.49,0.94132,0.47324,1.16506,0.88819,0.80558,0.89005,0.50386,1.53083,0.85902,1.68688,2.08684e-05,2.08684e-05,2.08684e-05
150,5443.32,0.93596,0.4672,1.17223,0.91748,0.78963,0.88972,0.50431,1.53265,0.86592,1.68885,2.02171e-05,2.02171e-05,2.02171e-05
